year,make,model,body_styles
2001,HUMMER,H1,"[""Wagon"", ""SUV""]"
2001,Hyundai,Accent,"[""Hatchback"", ""Sedan""]"
2001,Hyundai,Elantra,"[""Hatchback"", ""Sedan""]"
2001,Hyundai,Santa Fe,"[""SUV""]"
2001,Hyundai,Sonata,"[""Sedan""]"
2001,Hyundai,Tiburon,"[""Hatchback""]"
2001,Hyundai,XG300,"[""Sedan""]"
2001,INFINITI,G,"[""Sedan""]"
2001,INFINITI,I,"[""Sedan""]"
2001,INFINITI,Q,"[""Sedan""]"
2001,INFINITI,QX,"[""SUV""]"
2001,Isuzu,Rodeo,"[""SUV""]"
2001,Isuzu,Rodeo Sport,"[""SUV""]"
2001,Isuzu,Trooper,"[""SUV""]"
2001,Isuzu,VehiCROSS,"[""SUV""]"
2001,Jaguar,S-Type,"[""Sedan""]"
2001,Jaguar,XJ,"[""Sedan""]"
2001,Jaguar,XK,"[""Convertible"", ""Coupe""]"
2001,Jeep,Cherokee,"[""SUV""]"
2001,Jeep,Grand Cherokee,"[""SUV""]"
2001,Jeep,Wrangler,"[""SUV""]"
2001,Kia,Optima,"[""Sedan""]"
2001,Kia,Rio,"[""Sedan""]"
2001,Kia,Sephia,"[""Sedan""]"
2001,Kia,Spectra,"[""Hatchback""]"
2001,Kia,Sportage,"[""SUV""]"
